Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	118450.68659969204	221303.3235353944	95363.7447792522	195172.77440277036	96658.70592440788	29067.25729137456	110981.41373718326	71248.23866171647	60362.56791640296
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	35.973915646448226	140.97650505108967	29.105148234171477	85.80020180071178	7.559642532927766	1.325807250335252	60.50656697611728	90.65465302641356	25.120242342619523
AEROBACTINSYN-PWY	aerobactin biosynthesis	114.5559647003939	81.2260566796544	280.5720619683908	22.42649317265455	333.77328494989337	20.807106846345995	28.843513237783046	101.74231149306266	38.67345685146419
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	2636.8089980083296	1303.973547028566	3129.8021479840754	543.368820655057	3439.3141942786883	305.0667836906646	418.59749863685687	1607.1729367245416	610.5810047589948
ANAEROFRUCAT-PWY	homolactic fermentation	104088.45863584922	187706.2637639214	42971.82453232661	134015.4019132032	41780.07721418529	30713.51709938464	59983.09791713111	78319.97590345642	43556.0350584892
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	159511.42499410946	279462.90870567504	119377.25570508752	234693.1186149554	120589.10309077344	37428.08093031831	136763.4308514646	92412.25499377088	73647.62006008059
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	17242.974496892068	17627.608842858477	4967.411063288517	33483.735841596965	4088.983693820565	3372.0942578599484	6605.794187049428	18954.16357265667	5342.197125793369
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	96.27724347087629	74.1893148097161	263.31747562266844	20.27124722877999	286.46704993233976	19.84855250660548	22.983721556521225	107.1264679392519	42.52535291805656
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	15468.20333856306	7561.902362633654	1777.37764862115	4425.942709557643	1806.8222502278545	2718.9229904797926	2971.0558206319897	10787.609313755402	2642.2222957622275
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	82214.72459507783	95978.58596666706	56111.07893985354	71784.10749622474	53573.804714459024	12182.018904331691	41736.39137749376	50062.89819639667	18350.66979050181
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	74286.57411300369	66978.37797562747	41078.18901027896	56033.56080784921	37756.384149998165	9075.262124803265	32191.241932824945	47117.00675530593	13617.439824755396
ARO-PWY	chorismate biosynthesis I	111073.50677714072	148753.2933541542	66392.51568287896	131530.5082964513	63070.58555793637	16345.595116897104	67510.28260163104	64537.89660204632	30793.522120020643
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	131663.61947707454	316615.01595346275	103791.14456651048	208553.9979127685	108296.95148389669	33652.208528357725	138097.51086245905	70498.49188138095	71373.57417004397
AST-PWY	L-arginine degradation II (AST pathway)	172.36225718136023	179.90986389363408	394.5091019916551	145.954618758343	447.9543881942817	27.81240624007682	62.78649179789531	178.7440880840798	64.90266637093973
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	89698.67939872849	95035.11729041058	83530.40256398107	150502.72553288535	86361.32313763701	23568.019957087552	90746.73094352004	45807.646335540565	54172.995137054335
